title,artist,difficulty,youtube_url,workshop_url,download_url,tile_count,creator,tags
Merry Christmas,Dafikun,0.1,https://youtu.be/Gs6uwjJT5dI,https://steamcommunity.com/sharedfiles/filedetails/?id=2693069930,https://drive.google.com/file/d/1Tq7kHH7DG4CqRjj7Xv6LDSo4_HeMCv37/view?usp=sharing,66,Irin,"TRIPLET, SLOW, SHORT"
Attention,Xtrullor,0.1,https://www.youtube.com/watch?v=aOOXs8Wx4ww,https://steamcommunity.com/sharedfiles/filedetails/?id=2747181534,https://drive.google.com/file/d/1qfVHwO1FTLle0AyRiPCpaWkForn6vVJ_/view?usp=sharing,214,Logite,"EPILEPSY_WARNING, SWING, SLOW"
"Ready [""0.06min introduction"" Short Ver.]",meganeko,0.1,https://youtu.be/PBW-ECiIHL4,https://steamcommunity.com/sharedfiles/filedetails/?id=2669986238,https://cdn.discordapp.com/attachments/675256851121831937/915590037314371624/Ready_Effect.zip,56,Purple0702,"PSEUDO, TRIPLET, SHORT"
W,IEFNVBZ,0.1,https://youtu.be/u1ajsEClNGM, ,https://drive.google.com/file/d/1EO-I7ci3YSZyXB7VQwXpQA70GCk9yKJl/view?usp=sharing,109,그냥유저,PSEUDO_P2
한번 막누르기 방지,똘복,0.1,https://youtu.be/u3gSsH5oF5I, ,https://drive.google.com/file/d/1bJ10Cw_W2D0n4mHSfedBzOY6f7cEJF91/view,48,느티나무,
Fairy Discolored,sqwv+,0.1,https://youtu.be/FFHxnmP0Y3I,https://steamcommunity.com/sharedfiles/filedetails/?id=2783472245,https://drive.google.com/file/d/1RoCTlm6uFccmvBXQf2nMopOyXYGbOyme/view?usp=sharing,6,Hello_,"NO_SPEED_CHANGES, NO_TWIRLS, SLOW"
zozzobob,voICE,0.1,https://youtu.be/6vhCGXM0_cQ, ,https://drive.google.com/file/d/1zTfATyXygRhVPLXQkhaeyWk0E49dFgaV/view?usp=sharing,500,voICE,PSEUDO
Simple Ringtone,Cinamoro,0.1,https://youtu.be/YNfjxMN_VF8, ,https://drive.google.com/file/d/1v2yF6xDQQCd-Pr9Tc2nLorWaOitY15NE/view?usp=sharing,45,미타마,"PSEUDO, SHORT"
Simple Ringtone,Cinamoro,0.1,https://youtu.be/ggT6KjzaNd4, ,https://drive.google.com/file/d/1T0_3y1-owYIm3cZpwSiaJBv-rFLFI5ff/view?usp=sharing,20,NuT,"NO_SPEED_CHANGES, NO_TWIRLS, SLOW, SHORT"
Just One,Names!,0.1,https://youtu.be/YELWUGAOJOo, ,https://drive.google.com/file/d/1w8MrbGR21zvfnx4SiTLq0b9H990Yf6q8/view?usp=drivesdk,1,Names!,"NO_SPEED_CHANGES, NO_TWIRLS, SLOW"
100O,Frums,0.1,https://www.youtube.com/watch?v=utL7fwZR4wM, ,https://drive.google.com/file/d/1qPCvTh3pJlYqbVgd9pTmIDQ2zwshtMlH/view?usp=sharing,1058,oceanic shipping and trade,"PSEUDO, GALLOP, TRIPLET, POLYRHYTHM, FUNKY_BEAT"
(^^),Yamajet,0.1,https://youtu.be/bUZWkFo902k,https://steamcommunity.com/sharedfiles/filedetails/?id=2187415711,https://drive.google.com/file/d/1WdHlbZBeP8q7EhCf4Q7viBZvXyCkDyoG/view?usp=sharing,11,PowerFactory,"NO_SPEED_CHANGES, NO_TWIRLS, SLOW, SHORT"
